instance_size,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,h2d_transfer_ms,d2h_transfer_ms,feasible_pct,init_fitness,final_fitness,improvement
small,16384,cuda_optimized,48,0.248904,Yes,560,5.4449,52.7768,0.609824,10.3212,24.3103,0.175488,0.248904,0.0734162
small,16384,cuda_optimized,49,0.248904,Yes,520,5.0273,47.5217,0.612576,9.35959,24.0967,0.167613,0.248904,0.0812914
small,16384,cuda_optimized,50,0.248904,Yes,485,4.55088,42.7049,0.622272,8.43338,23.3521,0.173996,0.248904,0.0749088
small,16384,cuda_optimized,51,0.248904,Yes,496,4.62496,44.6843,0.614464,9.03846,24.4019,0.168157,0.248904,0.0807471
medium,1024,sequential,42,0.234962,Yes,24934,,,,,100,0.127634,0.234962,0.107328
medium,1024,sequential,43,0.234019,Yes,18759,,,,,100,0.128629,0.234019,0.105389
medium,1024,sequential,44,0.235461,Yes,21663,,,,,100,0.12888,0.235461,0.106581
medium,1024,sequential,45,0.235129,Yes,26423,,,,,100,0.125693,0.235129,0.109437
medium,1024,sequential,46,0.233035,Yes,12480,,,,,100,0.128905,0.233035,0.104131
medium,1024,sequential,47,0.234534,Yes,23436,,,,,100,0.127073,0.234534,0.10746
medium,1024,sequential,48,0.235971,Yes,26953,,,,,100,0.127672,0.235971,0.1083
medium,1024,sequential,49,0.233913,Yes,18609,,,,,100,0.130752,0.233913,0.103162
medium,1024,sequential,50,0.234803,Yes,25374,,,,,100,0.127058,0.234803,0.107745
medium,1024,sequential,51,0.23504,Yes,20742,,,,,100,0.127295,0.23504,0.107745
medium,1024,cuda_basic,42,0.21909,Yes,1112,27.3786,826.182,0.4664,7.31645,10.6445,0.124364,0.21909,0.0947256
medium,1024,cuda_basic,43,0.223326,Yes,1042,27.2123,797.872,0.460928,7.78179,12.207,0.125838,0.223326,0.0974885
medium,1024,cuda_basic,44,0.224354,Yes,998,25.5583,759.436,0.455232,7.26854,12.9883,0.126374,0.224354,0.0979798
medium,1024,cuda_basic,45,0.220373,Yes,788,19.3746,569.016,0.466144,5.56592,14.1602,0.126408,0.220373,0.0939641
medium,1024,cuda_basic,46,0.219092,Yes,844,20.5755,617.878,0.477088,6.14141,9.66797,0.129099,0.219092,0.0899929
