instance_size,population,variant,seed,best_fitness,feasible,wall_time_ms,kernel_fitness_ms,kernel_repro_ms,h2d_transfer_ms,d2h_transfer_ms,feasible_pct,init_fitness,final_fitness,improvement
medium,512,cuda_basic,43,0.219289,Yes,1358,36.5032,1130.01,0.542752,15.4916,9.375,0.132275,0.219289,0.087
medium,512,cuda_basic,44,0.219033,Yes,1324,36.3372,1104.19,1.10086,15.1057,12.5,0.126236,0.219033,0.0928
medium,512,cuda_basic,45,0.216627,Yes,764,19.4566,605.344,0.529408,7.94889,11.7188,0.12517,0.216627,0.0915
medium,512,cuda_basic,46,0.21781,Yes,1095,29.8641,900.586,0.577504,12.2576,12.5,0.122918,0.21781,0.0949
medium,512,cuda_basic,47,0.219229,Yes,1239,32.592,1033.78,0.53696,13.4428,10.9375,0.124434,0.219229,0.0948
medium,512,cuda_basic,48,0.219329,Yes,1370,36.2922,1147.1,0.550112,15.0332,10.1562,0.12435,0.219329,0.095
medium,512,cuda_basic,49,0.219931,Yes,1118,30.1431,922.906,0.566016,12.7844,14.0625,0.126067,0.219931,0.0939
medium,512,cuda_basic,50,0.218954,Yes,1256,34.0283,1044.82,0.54144,14.2631,12.1094,0.127698,0.218954,0.0913
medium,512,cuda_basic,51,0.219167,Yes,1158,30.5355,959.677,0.547264,12.739,13.2812,0.130883,0.219167,0.0883
medium,512,cuda_optimized,42,0.218954,Yes,1993,46.5296,1763.93,0.541056,15.4024,9.76562,0.128767,0.218954,0.0902
medium,512,cuda_optimized,43,0.219289,Yes,1965,46.0176,1729.88,0.562176,15.428,9.375,0.132275,0.219289,0.087
medium,512,cuda_optimized,44,0.219033,Yes,1932,45.8858,1701.62,0.60224,15.1587,12.5,0.126236,0.219033,0.0928
medium,512,cuda_optimized,45,0.216627,Yes,1099,24.479,931.067,0.558944,8.24544,11.7188,0.12517,0.216627,0.0915
medium,512,cuda_optimized,46,0.21781,Yes,1619,37.7613,1413.02,0.5512,12.6524,12.5,0.122918,0.21781,0.0949
